Question,Answer
"Who should be tested?","	know who should be tested"
"Will I die?", "   know how afraid you should be of Coronavirus/COVID-19"
"What should I do?","know what the Health Authority recommendations are"
"What to do when outside?","ask for recommendations as to how to act in public spaces"
"I'm sick wtf do i do?","know what to do if you've fallen ill"
"i dont know what to do now that I am sick","know what to do if you've fallen ill"
"What should I do because I touched someone who are sick with corona","know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19"
"How do I do to help my employes with corona?","know what to do as an employer to protect your employees"
"what should i do to minimise the spread?","know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19"
"I am not at risk, is there anything I should do?","know what to do as a person who does not fall within any of the known risk groups"
"how can I avoid being infected? ""know what to do as a person who does not fall within any of the known risk groups"
"how can I avoid being infected?","know how to prevent yourself from being infected"
"at what point should I seek medical help?","know when you should go to the doctor"
"is my son at risk of being infected?","know if children are at risk"
"should I be wearing a mask when I am outside?,"know if you should be wearing a mask"
"is it safe to use a public swimming pool?","know if you are at risk of infection if you go swimming in a swimming hall"
"What should I be careful with when travelling?","know which precautions to take if you're going travelling"
"I have come back from travelling and I am not sure what to do?","know what to do if you're returning from travelling abroad"
"what should I do as one of my employees are sick?","know what to do if one of your employees has been infected"
"what are my rights when an employee refuses to work because of the virus?","know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19"
"Can an employee say no to travelling for work because of the corona?","know if an employee can refuse to travel due to Coronavirus/COVID-19"
"what should a person do when under quaranteen?","know what to do if one of your employees is under quarantine"
"we can we not meet up in crowds?","know why the government recommends cancelling gatherings of people"
"should I cancel my birthday party?", "know what to do if you're arranging a gathering of people"
"what is the government recommending?", "know what the Health Authority recommendations are"
"_", "know what the Health Authority recommendations are"
"who is at risk of getting corona virus?", "know who especially are at risk of infection and subsequent illness"
"what is the government recommending?", "know what the Health Authority recommendations are"
"who should I avoid to not get corona?", "know what to do if you're a part of an at risk group"
"am I at risk if I am preganant and get corona?", "know what to do if you're pregnant"
"what are the chances for a kid with corona to die?", "know if children are at risk"
"should I wear a mask every time I go out?", "know if you should be wearing a mask"
"	how will covid 19 be stopped?", "know what the current strategy is"
"should I wear a mask every time I go out?", "know if you should be wearing a mask"
"	what is the current number of cases in the world?", "	ask for the latest news on Coronavirus/COVID-19"
"how dangerous is coronvirus?", "know how afraid you should be of Coronavirus/COVID-19"
"what are the rules to follow in public?", "ask for recommendations as to how to act in public spaces"
"	what should I do if I feel sick?", "	know what to do if you've fallen ill"
"what should I do if I feel sick?", "	know what to do if you've fallen ill"
"what is exactly coronavirus?", "know what Coronavirus/COVID-19 is"
"what are coronavirus symptoms?", "know what the symptoms of being infected with Coronavirus/COVID-19 are"
